,UNITID,INSTNM_x,Percent of students over 23 at entry,WHITE,BLACK,ASIAN,HISPANIC,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,numberOfStudentsNotWorkingAndNotEnrolled10YearsAfterEntry,numberOfStudentsWorkingAndNotEnrolled10YearsAfterEntry,meanEarningsOfStudentsWorkingAndNotEnrolled10yearsAfterEntry,logOfMeanEarnings,Standard deviation of earnings of students working and not enrolled 10 years after entry,INSTNM_y,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
1468,160621,Southern University and A & M College,0.100000001,45.68000031,49.04999924,1.75999999,4.409999847,95.16999817,45854.37,18.37000084,4.809999943,10.67000008,218,2245,38000,38,25400,Southern University and A & M College,Baton Rouge,LA,70813,30.524558,-91.190105,0.7856,0.785628743,911,0.0199,0.0092,0.0215,0,0.0337,0,0.0169,0,0.0153,0.0782,0.0077,0,0.046,0,0.0153,0,0,0.0261,0.0077,0,0.0537,0,0,0,0.0169,0,0.0598,0.0966,0.0399,0.0598,0,0,0,0,0.0138,0.2209,0.1242,0.0169
1469,160630,Southern University at New Orleans,0.379999995,35.11000061,58.74000168,2.569999933,4.900000095,94.05000305,43920.92,19.72999954,5.059999943,10.64999962,180,968,31600,31.6,22400,Southern University at New Orleans,New Orleans,LA,70126,30.02669,-90.044379,0.2145,0.21448468,803,0,0,0,0,0,0,0.0387,0,0.0179,0,0,0,0.0268,0,0.0238,0.0446,0,0.0804,0.006,0,0,0,0,0,0,0,0.1101,0.1012,0.1935,0,0,0,0,0,0,0.2024,0.1429,0.0119
1471,160658,University of Louisiana at Lafayette,0.170000002,69.16000366,27.28000069,1.289999962,2.390000105,96.91000366,47090.8,15.47999954,4.340000153,10.72000027,516,3692,45000,45,39000,University of Louisiana at Lafayette,Lafayette,LA,70503,30.215283,-92.01941,0.5527,0.552720932,1069,0.0016,0.0039,0.0169,0,0.0358,0,0.0244,0,0.1204,0.0858,0.0338,0.0051,0.0232,0,0.0146,0.1023,0,0.033,0.0059,0,0,0,0,0,0.0134,0,0.0319,0.0252,0,0.0358,0,0,0,0,0.0366,0.1861,0.1554,0.009
1473,160755,Tulane University of Louisiana,0.330000013,73.52999878,17.97999954,3.680000067,6.849999905,89.98000336,69803.28,9.210000038,3.349999905,11.06000042,259,2120,74200,74.2,70200,Tulane University of Louisiana,New Orleans,LA,70118-5698,29.939696,-90.120409,0.305,0.304985337,1346,0,0.017,0.0258,0.0077,0.0593,0,0.0346,0,0.0055,0.0357,0,0.0269,0,0.0192,0.0428,0.0099,0,0.0878,0.017,0,0.0005,0,0.0137,0,0.0077,0,0.0587,0.0143,0,0.157,0,0,0,0,0.0302,0.0768,0.2333,0.0187
1474,160904,Xavier University of Louisiana,0.039999999,43.31999969,45.93999863,4.21999979,8.710000038,90.19000244,55657.89,14.36999989,4.78000021,10.85999966,92,1305,61700,61.7,44100,Xavier University of Louisiana,New Orleans,LA,70125-1098,29.964162,-90.107307,0.6575,0.657520116,1050,0,0,0,0,0.0223,0,0.0223,0,0.0196,0,0,0.0056,0,0,0.0251,0,0,0.3715,0.0196,0,0,0,0.0028,0.0028,0.1425,0,0.1341,0,0,0.0531,0,0,0,0,0.0168,0.0559,0.095,0.0112
1481,161022,Maine College of Health Professions,0.860000014,97.05000305,0.569999993,0.689999998,0.959999979,96.77999878,51663.03,7.889999866,3.299999952,10.82999992,PrivacySuppressed,83,52000,52,28700,Maine College of Health Professions,Lewiston,ME,4240,44.100474,-70.217692,0.25,0.25,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1483,161086,Colby College,0,88.19999695,4.050000191,3.329999924,4.75,90.04000092,80130.48,5.710000038,2.799999952,11.21000004,32,306,73400,73.4,82500,Colby College,Waterville,ME,04901-8840,44.564211,-69.66337,0.2252,0.225207428,1363,0,0.0631,0,0.0428,0,0,0.0204,0,0.0061,0,0,0.0204,0,0,0.0774,0,0,0.1161,0.0285,0,0.0876,0,0.0224,0,0.0835,0,0.0713,0,0,0.2811,0,0,0,0,0.053,0,0,0.0265
1489,161235,University of Maine at Fort Kent,0.319999993,96.09999847,1.389999986,0.680000007,1.019999981,89.09999847,44056.6,9.039999962,3.309999943,10.67000008,36,274,35400,35.4,23700,University of Maine at Fort Kent,Fort Kent,ME,04743-1292,47.250306,-68.588364,0.893,0.893023256,885,0,0.0474,0,0,0,0,0.0368,0,0.0737,0,0,0,0,0,0.0105,0.0789,0,0.0211,0.0053,0,0,0,0,0,0,0,0,0.1263,0,0.0579,0,0,0,0,0,0.4211,0.1211,0
1491,161253,University of Maine,0.100000001,96.01999664,0.949999988,0.850000024,1.24000001,95.59999847,54908.38,7.789999962,3.140000105,10.86999989,281,2968,46700,46.7,35100,University of Maine,Orono,ME,4469,44.895129,-68.67358,0.9121,0.912078957,1090,0.0495,0.029,0,0.0026,0.0566,0,0.0097,0,0.0985,0.1261,0.0663,0.0026,0.0232,0,0.0174,0.0071,0,0.0656,0.0077,0,0.0264,0.0058,0.0045,0,0.0122,0,0.0618,0,0.0225,0.0753,0,0,0,0,0.0232,0.0753,0.1126,0.0187
1492,161299,Maine Maritime Academy,0.059999999,95.20999908,1.590000033,0.810000002,2.029999971,95.38999939,56725.03,7.420000076,3.099999905,10.89999962,PrivacySuppressed,356,100300,100.3,72200,Maine Maritime Academy,Castine,ME,04420-0001,44.3873,-68.803214,0.6515,0.651495449,1050,0,0,0,0,0,0,0,0,0,0.4676,0.1019,0,0,0,0,0,0,0.0463,0,0,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0.2407,0,0,0.1389,0
